"Trial"	"RiskType"	"RewardType"	"ResponseType"	"Reward"	"Shock"	"SubjID"
1	1	2	0	0.53	0	1
2	2	1	0	0.13	0	1
3	2	3	0	0.91	1	1
4	3	1	0	0.15	1	1
5	1	2	1	0.61	0	1
6	3	1	0	0.31	1	1
7	3	3	0	0.79	1	1
8	1	1	1	0.1	0	1
9	3	2	0	0.58	1	1
10	3	2	0	0.36	1	1
11	1	3	1	0.82	0	1
12	3	1	0	0.22	1	1
13	3	3	0	0.87	0	1
14	1	2	1	0.45	0	1
15	2	3	0	0.7	0	1
16	1	1	0	0.27	0	1
17	2	2	0	0.4	0	1
18	1	1	1	0.18	0	1
19	1	3	0	0.74	0	1
20	3	2	0	0.52	1	1
21	1	1	0	0.34	0	1
22	3	3	0	0.7	1	1
23	2	2	0	0.65	0	1
24	2	2	0	0.49	1	1
25	2	2	1	0.57	0	1
26	2	1	0	0.22	1	1
27	1	2	1	0.4	1	1
28	2	1	0	0.27	1	1
29	1	3	1	0.88	0	1
30	3	1	0	0.09	1	1
31	3	2	0	0.44	1	1
32	3	3	0	0.95	1	1
33	2	3	0	0.75	1	1
34	2	1	1	0.06	1	1
35	2	3	0	0.83	0	1
36	1	3	0	0.66	0	1
37	3	3	0	0.84	1	1
38	1	3	1	0.93	0	1
39	3	1	0	0.2	1	1
40	3	2	0	0.41	1	1
41	1	2	0	0.59	0	1
42	1	3	1	0.85	0	1
43	3	3	0	0.92	1	1
44	2	3	0	0.8	0	1
45	1	2	1	0.37	0	1
46	1	3	0	0.8	1	1
47	2	2	0	0.62	0	1
48	2	1	0	0.11	1	1
49	3	2	0	0.5	1	1
50	3	2	0	0.63	1	1
51	2	3	0	0.89	0	1
52	1	3	1	0.71	0	1
53	2	1	0	0.19	1	1
54	2	2	0	0.46	0	1
55	3	1	0	0.07	0	1
57	2	3	0	0.67	1	1
58	2	1	0	0.25	0	1
59	3	1	0	0.28	1	1
60	1	1	0	0.32	0	1
61	3	3	0	0.68	1	1
62	1	1	0	0.07	0	1
63	2	2	0	0.54	1	1
64	2	3	0	0.75	1	1
66	1	2	1	0.5	0	1
67	3	1	0	0.14	1	1
69	1	2	0	0.45	0	1
70	2	2	0	0.38	1	1
71	3	3	0	0.76	1	1
72	1	1	1	0.16	0	1
74	2	1	0	0.24	1	1
76	1	2	1	0.56	0	1
77	3	3	0	0.81	1	1
78	2	3	0	0.94	0	1
80	3	1	0	0.33	1	1
81	1	2	0	0.42	0	1
82	1	3	1	0.69	0	1
83	2	3	1	0.72	0	1
84	1	1	0	0.12	0	1
85	3	2	0	0.55	1	1
87	3	2	0	0.47	1	1
88	3	1	0	0.12	1	1
89	2	1	0	0.17	1	1
90	1	2	1	0.64	0	1
91	1	1	1	0.05	0	1
94	1	3	0	0.77	1	1
95	3	1	0	0.17	1	1
96	2	3	0	0.78	1	1
97	2	2	0	0.43	1	1
99	3	3	0	0.73	0	1
100	2	1	0	0.3	0	1
101	1	3	1	0.9	0	1
102	3	1	0	0.26	1	1
103	1	2	1	0.48	0	1
104	2	1	0	0.08	0	1
105	3	3	0	0.9	1	1
107	2	2	0	0.35	0	1
1	1	2	1	0.53	0	2
2	2	1	1	0.13	0	2
3	2	3	1	0.91	1	2
4	3	1	0	0.15	1	2
5	1	2	1	0.61	0	2
6	3	1	0	0.31	1	2
7	3	3	0	0.79	1	2
8	1	1	1	0.1	0	2
9	3	2	0	0.58	1	2
10	3	2	0	0.36	1	2
11	1	3	1	0.82	0	2
12	3	1	0	0.22	1	2
13	3	3	0	0.87	0	2
14	1	2	1	0.45	0	2
15	2	3	1	0.7	0	2
16	1	1	1	0.27	0	2
17	2	2	1	0.4	0	2
18	1	1	1	0.18	0	2
19	1	3	1	0.74	0	2
20	3	2	0	0.52	1	2
21	1	1	1	0.34	0	2
22	3	3	0	0.7	1	2
23	2	2	0	0.65	0	2
24	2	2	1	0.49	1	2
25	2	2	0	0.57	0	2
26	2	1	0	0.22	1	2
27	1	2	1	0.4	1	2
28	2	1	0	0.27	1	2
29	1	3	1	0.88	0	2
30	3	1	0	0.09	1	2
31	3	2	0	0.44	1	2
32	3	3	0	0.95	1	2
33	2	3	1	0.75	1	2
34	2	1	0	0.06	1	2
35	2	3	1	0.83	0	2
36	1	3	1	0.66	0	2
37	3	3	0	0.84	1	2
38	1	3	1	0.93	0	2
39	3	1	0	0.2	1	2
40	3	2	0	0.41	1	2
41	1	2	1	0.59	0	2
42	1	3	1	0.85	0	2
43	3	3	0	0.92	1	2
44	2	3	1	0.8	0	2
45	1	2	1	0.37	0	2
46	1	3	1	0.8	1	2
47	2	2	1	0.62	0	2
48	2	1	0	0.11	1	2
49	3	2	0	0.5	1	2
50	3	2	0	0.63	1	2
51	2	3	0	0.89	0	2
52	1	3	1	0.71	0	2
53	2	1	1	0.19	1	2
54	2	2	1	0.46	0	2
55	3	1	0	0.07	0	2
56	3	2	0	0.55	1	2
57	2	3	1	0.67	1	2
58	2	1	0	0.25	0	2
59	3	1	0	0.28	1	2
60	1	1	1	0.32	0	2
61	3	3	0	0.68	1	2
62	1	1	0	0.07	0	2
63	2	2	1	0.54	1	2
64	2	3	1	0.75	1	2
65	1	1	1	0.23	0	2
66	1	2	1	0.5	0	2
67	3	1	0	0.14	1	2
68	2	1	0	0.32	0	2
69	1	2	1	0.45	0	2
70	2	2	1	0.38	1	2
71	3	3	0	0.76	1	2
72	1	1	1	0.16	0	2
73	3	2	0	0.39	1	2
74	2	1	1	0.24	1	2
75	2	3	1	0.86	0	2
76	1	2	1	0.56	0	2
77	3	3	0	0.81	1	2
78	2	3	1	0.94	0	2
79	2	2	0	0.51	1	2
80	3	1	0	0.33	1	2
81	1	2	1	0.42	0	2
82	1	3	1	0.69	0	2
83	2	3	1	0.72	0	2
84	1	1	1	0.12	0	2
85	3	2	0	0.55	1	2
86	1	1	1	0.21	0	2
87	3	2	0	0.47	1	2
88	3	1	0	0.12	1	2
89	2	1	0	0.17	1	2
90	1	2	1	0.64	0	2
91	1	1	1	0.05	0	2
92	1	3	1	0.85	0	2
93	1	1	1	0.29	0	2
94	1	3	1	0.77	1	2
95	3	1	0	0.17	1	2
96	2	3	0	0.78	1	2
97	2	2	1	0.43	1	2
98	3	3	0	0.65	1	2
99	3	3	0	0.73	0	2
100	2	1	0	0.3	0	2
101	1	3	1	0.9	0	2
102	3	1	0	0.26	1	2
103	1	2	1	0.48	0	2
104	2	1	0	0.08	0	2
105	3	3	0	0.9	1	2
106	2	2	1	0.6	1	2
107	2	2	1	0.35	0	2
108	3	2	0	0.6	1	2
1	1	2	1	0.53	0	3
2	2	1	0	0.13	0	3
3	2	3	1	0.91	1	3
4	3	1	0	0.15	1	3
5	1	2	1	0.61	0	3
6	3	1	0	0.31	1	3
7	3	3	1	0.79	1	3
8	1	1	1	0.1	0	3
9	3	2	0	0.58	1	3
10	3	2	0	0.36	1	3
11	1	3	1	0.82	0	3
12	3	1	0	0.22	1	3
13	3	3	1	0.87	0	3
14	1	2	1	0.45	0	3
15	2	3	1	0.7	0	3
16	1	1	0	0.27	0	3
17	2	2	0	0.4	0	3
18	1	1	0	0.18	0	3
19	1	3	1	0.74	0	3
20	3	2	0	0.52	1	3
21	1	1	0	0.34	0	3
22	3	3	1	0.7	1	3
23	2	2	1	0.65	0	3
24	2	2	1	0.49	1	3
25	2	2	0	0.57	0	3
26	2	1	0	0.22	1	3
27	1	2	1	0.4	1	3
28	2	1	0	0.27	1	3
29	1	3	1	0.88	0	3
30	3	1	0	0.09	1	3
31	3	2	0	0.44	1	3
32	3	3	1	0.95	1	3
33	2	3	1	0.75	1	3
34	2	1	0	0.06	1	3
35	2	3	1	0.83	0	3
36	1	3	1	0.66	0	3
37	3	3	1	0.84	1	3
38	1	3	1	0.93	0	3
39	3	1	0	0.2	1	3
40	3	2	0	0.41	1	3
41	1	2	1	0.59	0	3
42	1	3	1	0.85	0	3
43	3	3	1	0.92	1	3
44	2	3	1	0.8	0	3
45	1	2	1	0.37	0	3
46	1	3	1	0.8	1	3
47	2	2	0	0.62	0	3
48	2	1	0	0.11	1	3
49	3	2	0	0.5	1	3
50	3	2	0	0.63	1	3
51	2	3	1	0.89	0	3
52	1	3	1	0.71	0	3
53	2	1	0	0.19	1	3
54	2	2	1	0.46	0	3
55	3	1	0	0.07	0	3
56	3	2	0	0.55	1	3
57	2	3	1	0.67	1	3
58	2	1	0	0.25	0	3
59	3	1	0	0.28	1	3
60	1	1	0	0.32	0	3
61	3	3	1	0.68	1	3
62	1	1	1	0.07	0	3
63	2	2	1	0.54	1	3
64	2	3	1	0.75	1	3
65	1	1	0	0.23	0	3
66	1	2	1	0.5	0	3
67	3	1	0	0.14	1	3
68	2	1	0	0.32	0	3
69	1	2	1	0.45	0	3
70	2	2	0	0.38	1	3
71	3	3	0	0.76	1	3
72	1	1	0	0.16	0	3
73	3	2	0	0.39	1	3
74	2	1	0	0.24	1	3
75	2	3	1	0.86	0	3
76	1	2	1	0.56	0	3
77	3	3	0	0.81	1	3
78	2	3	1	0.94	0	3
79	2	2	1	0.51	1	3
80	3	1	0	0.33	1	3
81	1	2	1	0.42	0	3
82	1	3	1	0.69	0	3
83	2	3	1	0.72	0	3
84	1	1	1	0.12	0	3
85	3	2	0	0.55	1	3
86	1	1	1	0.21	0	3
87	3	2	0	0.47	1	3
88	3	1	0	0.12	1	3
89	2	1	0	0.17	1	3
90	1	2	1	0.64	0	3
91	1	1	1	0.05	0	3
92	1	3	1	0.85	0	3
93	1	1	0	0.29	0	3
94	1	3	1	0.77	1	3
95	3	1	0	0.17	1	3
96	2	3	1	0.78	1	3
97	2	2	1	0.43	1	3
98	3	3	0	0.65	1	3
99	3	3	1	0.73	0	3
100	2	1	0	0.3	0	3
101	1	3	1	0.9	0	3
102	3	1	0	0.26	1	3
103	1	2	1	0.48	0	3
104	2	1	0	0.08	0	3
105	3	3	0	0.9	1	3
106	2	2	0	0.6	1	3
107	2	2	0	0.35	0	3
108	3	2	0	0.6	1	3
1	1	2	1	0.53	0	4
2	2	1	0	0.13	0	4
3	2	3	1	0.91	1	4
4	3	1	0	0.15	1	4
5	1	2	1	0.61	0	4
6	3	1	0	0.31	1	4
7	3	3	1	0.79	1	4
8	1	1	1	0.1	0	4
9	3	2	1	0.58	1	4
10	3	2	1	0.36	1	4
11	1	3	1	0.82	0	4
